Year,log_RGDP,FOR1,RES1,STD1,LCI1,UCI1,log_RPCE,FOR2,RES2,STD2,LCI2,UCI2,log_GPDI,FOR3,RES3,STD3,LCI3,UCI3,log_RFGCE,FOR4,RES4,STD4,LCI4,UCI4
01JUL1984,12.865548114,12.864611652,0.0009364625,0.0030100241,12.858712113,12.870511191,12.661803224,12.662112386,-0.000309162,0.002573468,12.657068482,12.667156291,11.923710194,11.921804758,0.0019054361,0.0138928944,11.894575186,11.949034331,12.253289532,12.250963998,0.0023255346,0.0034819476,12.244139506,12.257788489
01OCT1984,12.868996902,12.867473424,0.0015234784,0.0030100241,12.861573885,12.873372963,12.667508987,12.664157892,0.0033510953,0.002573468,12.659113987,12.669201797,11.919966701,11.929051645,-0.009084943,0.0138928944,11.901822072,11.956281218,12.261500773,12.254377528,0.0071232454,0.0034819476,12.247553036,12.26120202
01JAN1985,12.873291532,12.871666053,0.0016254788,0.0030100241,12.865766514,12.877565592,12.674833595,12.671456898,0.0033766964,0.002573468,12.666412994,12.676500803,11.908431399,11.918147741,-0.009716342,0.0138928944,11.890918169,11.945377314,12.266701967,12.266823174,-0.000121207,0.0034819476,12.259998682,12.273647666
01APR1985,12.877250372,12.878813689,-0.001563317,0.0030100241,12.87291415,12.884713228,12.678891512,12.678825156,0.0000663553,0.002573468,12.673781252,12.683869061,11.91750551,11.920772354,-0.003266845,0.0138928944,11.893542782,11.948001927,12.276691529,12.272240677,0.0044508515,0.0034819476,12.265416185,12.279065169
01JUL1985,12.883956542,12.881848873,0.0021076681,0.0030100241,12.875949335,12.887748412,12.687154254,12.684242385,0.0029118687,0.002573468,12.679198481,12.68928629,11.914977472,11.920183114,-0.005205642,0.0138928944,11.892953541,11.947412687,12.286770737,12.28251968,0.0042510567,0.0034819476,12.275695188,12.289344172
01OCT1985,12.887200808,12.889659047,-0.002458239,0.0030100241,12.883759508,12.895558586,12.688268505,12.691951216,-0.003682712,0.002573468,12.686907312,12.696995121,11.934245881,11.926711955,0.0075339263,0.0138928944,11.899482382,11.953941527,12.288204497,12.2915749,-0.003370403,0.0034819476,12.284750408,12.298399392
01JAN1986,12.891208407,12.890618716,0.0005896908,0.0030100241,12.884719177,12.896518255,12.691929793,12.692547967,-0.000618174,0.002573468,12.687504063,12.697591872,11.936262342,11.937828006,-0.001565664,0.0138928944,11.910598434,11.965057579,12.291812687,12.293031873,-0.001219185,0.0034819476,12.286207381,12.299856365
01APR1986,12.893195646,12.892655052,0.0005405938,0.0030100241,12.886755513,12.898554591,12.696758166,12.695851312,0.0009068535,0.002573468,12.690807408,12.700895217,11.932067692,11.928782707,0.0032849849,0.0138928944,11.901553135,11.95601228,12.300552009,12.295607514,0.0049444944,0.0034819476,12.288783023,12.302432006
01JUL1986,12.897550121,12.897685994,-0.000135873,0.0030100241,12.891786455,12.903585532,12.704553726,12.70037618,0.0041775459,0.002573468,12.695332275,12.705420084,11.922102367,11.943456964,-0.021354597,0.0138928944,11.916227391,11.970686537,12.310353389,12.305901011,0.004452378,0.0034819476,12.299076519,12.312725503
01OCT1986,12.899793153,12.902605254,-0.002812101,0.0030100241,12.896705715,12.908504793,12.707323154,12.708410336,-0.001087182,0.002573468,12.703366432,12.713454241,11.925363667,11.932649302,-0.007285634,0.0138928944,11.905419729,11.959878874,12.307816827,12.31450236,-0.006685533,0.0034819476,12.307677868,12.321326852
